HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.input,Answer.Fact.fact,Answer.Myth.myth,Answer.No.no,Answer.Yes.yes,Answer.aiName,Answer.factSource,Answer.sentence,Approve,Reject
3DTJ4WT8CXDS8WCGKMQO2I9BJD8ZEL,3CM00QMEU6K4RDMFXAT0B6G6JT46W5,Fact or Fiction,"Please submit an interesting fact or myth, and indicate which one. If submitting a fact, please provide a source (website URL, book reference, etc). If submitting a myth, please specify if it was generated with AI.",survey,$0.00 ,Fri Nov 29 10:40:34 PST 2024,100,BatchId:411347;OriginalHitTemplateId:921587278;,3600,259200,Fri Dec 06 10:40:34 PST 2024,,,30BXRYBRPPV3LVW7P3JPC18MDQMWHK,A38FQN4GN4WYEB,Approved,Sat Nov 30 16:30:34 PST 2024,Sat Nov 30 16:31:07 PST 2024,Tue Dec 03 16:31:07 PST 2024,Tue Dec 03 16:31:49 PST 2024,,,33,100% (11/11),100% (11/11),100% (11/11),Climate Change,FALSE,TRUE,FALSE,TRUE,chatpgt,n/a,Climate change is a natural cycle and not influenced by human activity,,
3DTJ4WT8CXDS8WCGKMQO2I9BJD8ZEL,3CM00QMEU6K4RDMFXAT0B6G6JT46W5,Fact or Fiction,"Please submit an interesting fact or myth, and indicate which one. If submitting a fact, please provide a source (website URL, book reference, etc). If submitting a myth, please specify if it was generated with AI.",survey,$0.00 ,Fri Nov 29 10:40:34 PST 2024,100,BatchId:411347;OriginalHitTemplateId:921587278;,3600,259200,Fri Dec 06 10:40:34 PST 2024,,,30BXRYBRPPV3LVW7P3JPC18MDROHW9,A3G8JLLEXGUZYP,Approved,Tue Dec 03 13:06:14 PST 2024,Tue Dec 03 13:07:18 PST 2024,Fri Dec 06 13:07:18 PST 2024,Thu Dec 05 10:50:55 PST 2024,,,64,100% (10/10),100% (10/10),100% (10/10),Climate Change,FALSE,TRUE,TRUE,FALSE,N/A,N/A,"As climate change progresses, everywhere will get hotter.",,
3DTJ4WT8CXDS8WCGKMQO2I9BJD8ZEL,3CM00QMEU6K4RDMFXAT0B6G6JT46W5,Fact or Fiction,"Please submit an interesting fact or myth, and indicate which one. If submitting a fact, please provide a source (website URL, book reference, etc). If submitting a myth, please specify if it was generated with AI.",survey,$0.00 ,Fri Nov 29 10:40:34 PST 2024,100,BatchId:411347;OriginalHitTemplateId:921587278;,3600,259200,Fri Dec 06 10:40:34 PST 2024,,,323Q6SJS83E1A9ACZE9P8DMMIOYHFB,A2JIRBAKZ19RKL,Approved,Tue Dec 03 12:19:06 PST 2024,Tue Dec 03 12:19:41 PST 2024,Fri Dec 06 12:19:41 PST 2024,Thu Dec 05 10:50:53 PST 2024,,,35,100% (9/9),100% (9/9),100% (9/9),Climate Change,FALSE,TRUE,TRUE,FALSE,N/A,News,Japan would be sunk in 20 years due to global warming.,,
3DTJ4WT8CXDS8WCGKMQO2I9BJD8ZEL,3CM00QMEU6K4RDMFXAT0B6G6JT46W5,Fact or Fiction,"Please submit an interesting fact or myth, and indicate which one. If submitting a fact, please provide a source (website URL, book reference, etc). If submitting a myth, please specify if it was generated with AI.",survey,$0.00 ,Fri Nov 29 10:40:34 PST 2024,100,BatchId:411347;OriginalHitTemplateId:921587278;,3600,259200,Fri Dec 06 10:40:34 PST 2024,,,3HUTX6F6VFLR1WKNFWP883PYL662OZ,A3GK1FK744XJ8B,Approved,Sun Dec 01 17:09:03 PST 2024,Sun Dec 01 17:09:38 PST 2024,Wed Dec 04 17:09:38 PST 2024,Wed Dec 04 17:09:49 PST 2024,,,35,100% (10/10),100% (10/10),100% (10/10),Climate Change,FALSE,TRUE,TRUE,FALSE,n/a,n/a,Climate Change is not real,,
3DTJ4WT8CXDS8WCGKMQO2I9BJD8ZEL,3CM00QMEU6K4RDMFXAT0B6G6JT46W5,Fact or Fiction,"Please submit an interesting fact or myth, and indicate which one. If submitting a fact, please provide a source (website URL, book reference, etc). If submitting a myth, please specify if it was generated with AI.",survey,$0.00 ,Fri Nov 29 10:40:34 PST 2024,100,BatchId:411347;OriginalHitTemplateId:921587278;,3600,259200,Fri Dec 06 10:40:34 PST 2024,,,3K2755HG5D1KYT5ADIQZHS7OQW5DFY,A36FH5FVHU69MT,Approved,Tue Dec 03 12:59:15 PST 2024,Tue Dec 03 12:59:36 PST 2024,Fri Dec 06 12:59:36 PST 2024,Thu Dec 05 10:50:52 PST 2024,,,21,100% (10/10),100% (10/10),100% (10/10),Climate Change,FALSE,TRUE,TRUE,FALSE,n/a,n/a,Climate change is not human caused.,,
3DTJ4WT8CXDS8WCGKMQO2I9BJD8ZEL,3CM00QMEU6K4RDMFXAT0B6G6JT46W5,Fact or Fiction,"Please submit an interesting fact or myth, and indicate which one. If submitting a fact, please provide a source (website URL, book reference, etc). If submitting a myth, please specify if it was generated with AI.",survey,$0.00 ,Fri Nov 29 10:40:34 PST 2024,100,BatchId:411347;OriginalHitTemplateId:921587278;,3600,259200,Fri Dec 06 10:40:34 PST 2024,,,3LPW2N6LKE0EDYN7T13F5GKZN2M5UH,A1R1ORXJ05C7EG,Approved,Mon Dec 02 18:10:12 PST 2024,Mon Dec 02 18:10:58 PST 2024,Thu Dec 05 18:10:58 PST 2024,Thu Dec 05 10:50:55 PST 2024,,,46,100% (10/10),100% (10/10),100% (10/10),Climate Change,TRUE,FALSE,TRUE,FALSE,N/A,https://www.climate.gov/news-features/understanding-climate/climate-change-global-temperature,Earth's temperatue has risen by about .11 degrees every decade since 1850.,,
3DTJ4WT8CXDS8WCGKMQO2I9BJD8ZEL,3CM00QMEU6K4RDMFXAT0B6G6JT46W5,Fact or Fiction,"Please submit an interesting fact or myth, and indicate which one. If submitting a fact, please provide a source (website URL, book reference, etc). If submitting a myth, please specify if it was generated with AI.",survey,$0.00 ,Fri Nov 29 10:40:34 PST 2024,100,BatchId:411347;OriginalHitTemplateId:921587278;,3600,259200,Fri Dec 06 10:40:34 PST 2024,,,3WZ36BJEVOE121PRU64I36YPEJZTBB,A2ECQJPKY9LHC3,Approved,Sat Nov 30 14:55:11 PST 2024,Sat Nov 30 14:55:50 PST 2024,Tue Dec 03 14:55:50 PST 2024,Tue Dec 03 14:56:49 PST 2024,,,39,100% (10/10),100% (10/10),100% (10/10),Climate Change,FALSE,TRUE,TRUE,FALSE,ChatGPT,"https://www.epa.gov/climatechange-science/causes-climate-change#:~:text=Climate%20change-,Climate%20change%20refers%20to%20long%2Dterm%20shifts%20in%20temperatures%20and,like%20coal%2C%20oil%20and%20gas.",Climate change is caused solely by natural factors and has nothing to do with human activities.,,
3DTJ4WT8CXDS8WCGKMQO2I9BJD8ZEL,3CM00QMEU6K4RDMFXAT0B6G6JT46W5,Fact or Fiction,"Please submit an interesting fact or myth, and indicate which one. If submitting a fact, please provide a source (website URL, book reference, etc). If submitting a myth, please specify if it was generated with AI.",survey,$0.00 ,Fri Nov 29 10:40:34 PST 2024,100,BatchId:411347;OriginalHitTemplateId:921587278;,3600,259200,Fri Dec 06 10:40:34 PST 2024,,,3X4JMASXC770MSS0W4G8JVWKH940BA,A209JFLE2JEZ0E,Approved,Mon Dec 02 10:49:24 PST 2024,Mon Dec 02 10:50:11 PST 2024,Thu Dec 05 10:50:11 PST 2024,Thu Dec 05 10:50:49 PST 2024,,,47,100% (10/10),100% (10/10),100% (10/10),Climate Change,TRUE,FALSE,TRUE,FALSE,N/A,https://www.axios.com/2024/12/02/climate-change-heat-wave-hot-spots,"The studies and media comments from scientists illustrate that the Earth's climate system — made up of the oceans, land and atmosphere — may no longer be behaving as it used to.",,
3DTJ4WT8CXDS8WCGKMQO2I9BJD8ZEL,3CM00QMEU6K4RDMFXAT0B6G6JT46W5,Fact or Fiction,"Please submit an interesting fact or myth, and indicate which one. If submitting a fact, please provide a source (website URL, book reference, etc). If submitting a myth, please specify if it was generated with AI.",survey,$0.00 ,Fri Nov 29 10:40:34 PST 2024,100,BatchId:411347;OriginalHitTemplateId:921587278;,3600,259200,Fri Dec 06 10:40:34 PST 2024,,,3YT88D1N0TWXWNVRL4BKKWDH7FXK39,A1WDIDASJA224N,Approved,Tue Dec 03 12:24:18 PST 2024,Tue Dec 03 12:24:42 PST 2024,Fri Dec 06 12:24:42 PST 2024,Thu Dec 05 10:50:53 PST 2024,,,24,100% (10/10),100% (10/10),100% (10/10),Climate Change,FALSE,TRUE,TRUE,FALSE,NA,NA,climate change is a figment of my imagination,,
3VMHWJRYIFEV9FCXEFM9NFE0NEPXF4,3CM00QMEU6K4RDMFXAT0B6G6JT46W5,Fact or Fiction,"Please submit an interesting fact or myth, and indicate which one. If submitting a fact, please provide a source (website URL, book reference, etc). If submitting a myth, please specify if it was generated with AI.",survey,$0.00 ,Fri Nov 29 10:40:34 PST 2024,100,BatchId:411347;OriginalHitTemplateId:921587278;,3600,259200,Fri Dec 06 10:40:34 PST 2024,,,31IBVUNM9DX6SA5W43QTNEDVQ27VFB,A3FLICAK428301,Approved,Sat Nov 30 10:28:27 PST 2024,Sat Nov 30 10:28:59 PST 2024,Tue Dec 03 10:28:59 PST 2024,Tue Dec 03 10:29:49 PST 2024,,,32,100% (3/3),100% (3/3),100% (3/3),Space Exploration,TRUE,FALSE,TRUE,FALSE,N/A,https://en.wikipedia.org/wiki/Space_exploration,Space exploration is the use of astronomy and space technology to explore outer space.,,
