HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.input,Answer.aiConfidence,Answer.ai_generated_no.no,Answer.ai_generated_yes.yes,Answer.classificationConfidence,Answer.evaluatedSentence,Answer.interest,Answer.is_fact.fact,Answer.is_myth.myth,Approve,Reject
3DZKABX2023W2ENSNZZEEYEQXBHVC8,3Z2ZOEGDOW4795ZN1FA60WK49KDF1W,Classify Statments as Fact or Fiction,"Classify the following statments as fact or fiction, and provide the confidence of your answer.",survey,$0.01 ,Mon Dec 09 12:39:23 PST 2024,20,BatchId:5278147;OriginalHitTemplateId:928390912;,3600,259200,Thu Dec 12 12:39:23 PST 2024,,,32KTQ2V7RYDE1DKANPTXEWQZJMR9M4,A19I2ZK220NTAE,Submitted,Mon Dec 09 14:39:24 PST 2024,Mon Dec 09 14:52:37 PST 2024,Thu Dec 12 14:52:37 PST 2024,,,,793,100% (2/2),100% (2/2),100% (2/2),A cause of autism is from a vaccine.,100,TRUE,FALSE,100,A cause of autism is from a vaccine.,64,FALSE,TRUE,,
3DZKABX2023W2ENSNZZEEYEQXBHVC8,3Z2ZOEGDOW4795ZN1FA60WK49KDF1W,Classify Statments as Fact or Fiction,"Classify the following statments as fact or fiction, and provide the confidence of your answer.",survey,$0.01 ,Mon Dec 09 12:39:23 PST 2024,20,BatchId:5278147;OriginalHitTemplateId:928390912;,3600,259200,Thu Dec 12 12:39:23 PST 2024,,,35K3O9HUAWBPQZJA9D56BK71DIPFE7,A2O4PW85X1GQA1,Submitted,Mon Dec 09 13:40:30 PST 2024,Mon Dec 09 14:00:25 PST 2024,Thu Dec 12 14:00:25 PST 2024,,,,1195,100% (3/3),100% (3/3),100% (3/3),A cause of autism is from a vaccine.,100,TRUE,FALSE,100,A cause of autism is from a vaccine.,60,FALSE,TRUE,,
3DZKABX2023W2ENSNZZEEYEQXBHVC8,3Z2ZOEGDOW4795ZN1FA60WK49KDF1W,Classify Statments as Fact or Fiction,"Classify the following statments as fact or fiction, and provide the confidence of your answer.",survey,$0.01 ,Mon Dec 09 12:39:23 PST 2024,20,BatchId:5278147;OriginalHitTemplateId:928390912;,3600,259200,Thu Dec 12 12:39:23 PST 2024,,,36W0OB37HHC7FQ1C0Q7JZFKWH3MHZO,AWGV35294HOYB,Submitted,Mon Dec 09 15:43:51 PST 2024,Mon Dec 09 16:07:37 PST 2024,Thu Dec 12 16:07:37 PST 2024,,,,1426,100% (1/1),100% (1/1),100% (1/1),A cause of autism is from a vaccine.,73,FALSE,TRUE,69,A cause of autism is from a vaccine.,70,FALSE,TRUE,,
3DZKABX2023W2ENSNZZEEYEQXBHVC8,3Z2ZOEGDOW4795ZN1FA60WK49KDF1W,Classify Statments as Fact or Fiction,"Classify the following statments as fact or fiction, and provide the confidence of your answer.",survey,$0.01 ,Mon Dec 09 12:39:23 PST 2024,20,BatchId:5278147;OriginalHitTemplateId:928390912;,3600,259200,Thu Dec 12 12:39:23 PST 2024,,,37UEWGM5HE6N9OU7OKALLP2QRXO1RX,A2MZEUP2ECO1AI,Submitted,Mon Dec 09 14:42:25 PST 2024,Mon Dec 09 15:41:24 PST 2024,Thu Dec 12 15:41:24 PST 2024,,,,3539,100% (4/4),100% (4/4),100% (4/4),A cause of autism is from a vaccine.,89,TRUE,FALSE,94,A cause of autism is from a vaccine.,85,FALSE,TRUE,,
3DZKABX2023W2ENSNZZEEYEQXBHVC8,3Z2ZOEGDOW4795ZN1FA60WK49KDF1W,Classify Statments as Fact or Fiction,"Classify the following statments as fact or fiction, and provide the confidence of your answer.",survey,$0.01 ,Mon Dec 09 12:39:23 PST 2024,20,BatchId:5278147;OriginalHitTemplateId:928390912;,3600,259200,Thu Dec 12 12:39:23 PST 2024,,,38F71OA9GEUN2NBNQBTPOSCAMK8FMO,A3I6T47LQC4B9J,Submitted,Mon Dec 09 12:42:26 PST 2024,Mon Dec 09 12:51:32 PST 2024,Thu Dec 12 12:51:32 PST 2024,,,,546,100% (8/8),100% (8/8),100% (8/8),A cause of autism is from a vaccine.,0,FALSE,FALSE,0,A cause of autism is from a vaccine.,0,FALSE,FALSE,,
3DZKABX2023W2ENSNZZEEYEQXBHVC8,3Z2ZOEGDOW4795ZN1FA60WK49KDF1W,Classify Statments as Fact or Fiction,"Classify the following statments as fact or fiction, and provide the confidence of your answer.",survey,$0.01 ,Mon Dec 09 12:39:23 PST 2024,20,BatchId:5278147;OriginalHitTemplateId:928390912;,3600,259200,Thu Dec 12 12:39:23 PST 2024,,,3C8HJ7UOPSST742NRNNWRKSSYP2ZMW,A25XR1F27QUO3D,Submitted,Mon Dec 09 12:42:54 PST 2024,Mon Dec 09 12:49:13 PST 2024,Thu Dec 12 12:49:13 PST 2024,,,,379,100% (5/5),100% (5/5),100% (5/5),A cause of autism is from a vaccine.,57,FALSE,TRUE,36,A cause of autism is from a vaccine.,33,TRUE,FALSE,,
3DZKABX2023W2ENSNZZEEYEQXBHVC8,3Z2ZOEGDOW4795ZN1FA60WK49KDF1W,Classify Statments as Fact or Fiction,"Classify the following statments as fact or fiction, and provide the confidence of your answer.",survey,$0.01 ,Mon Dec 09 12:39:23 PST 2024,20,BatchId:5278147;OriginalHitTemplateId:928390912;,3600,259200,Thu Dec 12 12:39:23 PST 2024,,,3DH6GAKTYJNT1LR1AQB7LFFZ7ZUYZZ,A2BMJL0FGLDBQI,Submitted,Mon Dec 09 14:43:49 PST 2024,Mon Dec 09 14:56:46 PST 2024,Thu Dec 12 14:56:46 PST 2024,,,,777,100% (3/3),100% (3/3),100% (3/3),A cause of autism is from a vaccine.,69,FALSE,TRUE,78,A cause of autism is from a vaccine.,66,FALSE,TRUE,,
3DZKABX2023W2ENSNZZEEYEQXBHVC8,3Z2ZOEGDOW4795ZN1FA60WK49KDF1W,Classify Statments as Fact or Fiction,"Classify the following statments as fact or fiction, and provide the confidence of your answer.",survey,$0.01 ,Mon Dec 09 12:39:23 PST 2024,20,BatchId:5278147;OriginalHitTemplateId:928390912;,3600,259200,Thu Dec 12 12:39:23 PST 2024,,,3DHE4R9OCH939J3PRDGNR4YOHVBG2J,A3D49JEUL64NIE,Submitted,Mon Dec 09 18:57:07 PST 2024,Mon Dec 09 19:05:37 PST 2024,Thu Dec 12 19:05:37 PST 2024,,,,510,100% (3/3),100% (3/3),100% (3/3),A cause of autism is from a vaccine.,86,TRUE,FALSE,91,A cause of autism is from a vaccine.,90,FALSE,TRUE,,
3DZKABX2023W2ENSNZZEEYEQXBHVC8,3Z2ZOEGDOW4795ZN1FA60WK49KDF1W,Classify Statments as Fact or Fiction,"Classify the following statments as fact or fiction, and provide the confidence of your answer.",survey,$0.01 ,Mon Dec 09 12:39:23 PST 2024,20,BatchId:5278147;OriginalHitTemplateId:928390912;,3600,259200,Thu Dec 12 12:39:23 PST 2024,,,3IXEICO79NHVWP8WYFRXG0UPNT0T6Z,A251BWQW2F81FT,Submitted,Mon Dec 09 12:41:12 PST 2024,Mon Dec 09 13:34:56 PST 2024,Thu Dec 12 13:34:56 PST 2024,,,,3224,100% (9/9),100% (9/9),100% (9/9),A cause of autism is from a vaccine.,55,FALSE,TRUE,92,A cause of autism is from a vaccine.,23,FALSE,TRUE,,
3DZKABX2023W2ENSNZZEEYEQXBHVC8,3Z2ZOEGDOW4795ZN1FA60WK49KDF1W,Classify Statments as Fact or Fiction,"Classify the following statments as fact or fiction, and provide the confidence of your answer.",survey,$0.01 ,Mon Dec 09 12:39:23 PST 2024,20,BatchId:5278147;OriginalHitTemplateId:928390912;,3600,259200,Thu Dec 12 12:39:23 PST 2024,,,3L4D84MILKQHFBW8I44XBLW6Y5QHJK,A1F81JLE62538O,Submitted,Mon Dec 09 12:42:02 PST 2024,Mon Dec 09 13:05:43 PST 2024,Thu Dec 12 13:05:43 PST 2024,,,,1421,100% (5/5),100% (5/5),100% (5/5),A cause of autism is from a vaccine.,62,FALSE,TRUE,62,A cause of autism is from a vaccine.,76,FALSE,TRUE,,
3DZKABX2023W2ENSNZZEEYEQXBHVC8,3Z2ZOEGDOW4795ZN1FA60WK49KDF1W,Classify Statments as Fact or Fiction,"Classify the following statments as fact or fiction, and provide the confidence of your answer.",survey,$0.01 ,Mon Dec 09 12:39:23 PST 2024,20,BatchId:5278147;OriginalHitTemplateId:928390912;,3600,259200,Thu Dec 12 12:39:23 PST 2024,,,3PB5A5BD0G4AVK0VXPXINVFWSAQG7Q,A2MRMOCGL25O67,Submitted,Mon Dec 09 14:32:55 PST 2024,Mon Dec 09 14:39:27 PST 2024,Thu Dec 12 14:39:27 PST 2024,,,,392,100% (8/8),100% (8/8),100% (8/8),A cause of autism is from a vaccine.,95,FALSE,TRUE,93,A cause of autism is from a vaccine.,98,TRUE,FALSE,,
3DZKABX2023W2ENSNZZEEYEQXBHVC8,3Z2ZOEGDOW4795ZN1FA60WK49KDF1W,Classify Statments as Fact or Fiction,"Classify the following statments as fact or fiction, and provide the confidence of your answer.",survey,$0.01 ,Mon Dec 09 12:39:23 PST 2024,20,BatchId:5278147;OriginalHitTemplateId:928390912;,3600,259200,Thu Dec 12 12:39:23 PST 2024,,,3Q5C1WP237ZY41W9RDXIIOXUZFA15U,AY5X34OJ2VT1K,Submitted,Mon Dec 09 14:04:36 PST 2024,Mon Dec 09 14:47:57 PST 2024,Thu Dec 12 14:47:57 PST 2024,,,,2601,100% (7/7),100% (7/7),100% (7/7),A cause of autism is from a vaccine.,94,FALSE,TRUE,92,A cause of autism is from a vaccine.,94,TRUE,FALSE,,
